m o r h o	m o h₁ r o
h e d e	h₁ e d
m e l	m e l
s a r h	h₁ s h₂ r
h a s t u r	h₂ e s t r
s u l	s w l
t o r	t o r h₂
m o r	m o r
b a l	w e l h₃
s o	s e u h₃
h o n	h₃ n h₂
h u l h e	h₂ u l h₁
b u r u	h₃ bʱ r u
k e r	k̑ e r
g o n o	g̑ n e h₃
b e l h	bʱ e l
l o h o	l o gʱ
k e i	k̑ e j
d e l h	d e l h₁
h a n a r	h₂ n e r
m e m s	m e m s
b e n t i	m n t i
g o r h o	gʷ o r h₃
h o s	h₃ o h₁ s
n e g u	n e gʷ
n a s a	n a s
n o	n o
o h i	o i
s a m a	s e m
g e n h s	g̑ e n h₁ e s
h e h u r i	j e u h₁ r
b i d e	w i dʱ
b a h a	bʱ e h₂
d e l h e	d e l h₁
k u s	kʷ e i s
s e d e	s e d
p e l	p e l
s k a l	s k̑ e l h₁
b e n	m e n
k e n i	k e n i
d e h u s o	dʱ e u s o
s t a h	s t e h₂
s t a r	h₂  s t e r
t h i	t i h₁
b i	w i
p e l h	p e l h₁
b e r o	w e r h₁
h u r	u h₁ r
u d	u d
h a r g i	h₂ e r g̑
