m o r h o	m o h₁ r o
h e d e	h₁ e d
m e l	m e l
s a r h	h₁ s h₂ r
h a s t u r	h₂ e s t r
s u l	s w l
t o r	t o r h₂
h o n	h₃ n h₂
h u l h e	h₂ u l h₁
b u r u	h₃ bʱ r u
k e r	k̑ e r
g o n o	g̑ n e h₃
b e l h	bʱ e l
d e l h	d e l h₁
m e m s	m e m s
h o s	h₃ o h₁ s
n e g u	n e gʷ
n a s a	n a s
n o	n o
s t a h a r	s t a h₂ r o
o h i	o i
s a m a	s e m
h e h u r i	j e u h₁ r
s a l	s a l
b a h a	bʱ e h₂
d e l h e	d e l h₁
k u s	kʷ e i s
p e l	p e l
s k a l	s k̑ e l h₁
b e n	m e n
k e n i	k e n i
d e h u s o	dʱ e u s o
s t a h	s t e h₂
s t a r	h₂  s t e r
s t u r	s t u h₂ r
t h i	t i h₁
h u r	u h₁ r
u d	u d
p a l	p e l h₂
i o s	i o s
