m e s o	h₂ m e s o
m o r h o	m o h₁ r o
h e d e	h₁ e d
m e l	m e l
s a r h	h₁ s h₂ r
h a s t u r	h₂ e s t r
s u l	s w l
t o r	t o r h₂
h o	h₁ e u
t e m	t e m h₁
k a s	k̑ a s
k o r	k o r
b a g i	w e h₂ g̑
m o r	m o r
b a l	w e l h₃
l o	l e u
g e n h	g̑ e n h₁
a t a	a t
p a h u	p e h₂ u
b o r h o	bʱ o r h₁
h e r s	h₁ e r s
s u r o	s r e u
s n o	s n e u
s o	s e u h₃
h e i a	h₃ e i
h o n	h₃ n h₂
h u l h e	h₂ u l h₁
k a r	k a r
b u r u	h₃ bʱ r u
n o s	n o s
e u s	j e w e s
d o k i	d o k̑
k e r	k̑ e r
s a l	s e l
g o n o	g̑ n e h₃
b e l h	bʱ e l
l o h o	l o gʱ
k e i	k̑ e j
d e l h	d e l h₁
h a n a r	h₂ n e r
m e m s	m e m s
b e n t i	m n t i
g o r h o	gʷ o r h₃
h o s	h₃ o h₁ s
n a b a	h₃ n e bʱ
n e g u	n e gʷ
n a s a	n a s
n o	n o
s t a h a r	s t a h₂ r o
o h i	o i
s a m a	s e m
a l	a l
g e n h s	g̑ e n h₁ e s
d o k i	d e u k
h e h u r i	j e u h₁ r
d e k i s o	d e k̑ s
b i d e	w i dʱ
s a l	s a l
b a h a	bʱ e h₂
d e l h e	d e l h₁
k u s	kʷ e i s
s p i	s p e i
d a h a b	dʱ e bʱ
s e d e	s e d
p e l	p e l
s k a l	s k̑ e l h₁
b e n	m e n
k e n i	k e n i
d e h u s o	dʱ e u s o
s k e r h	s k e r h₁
s t a p a	s t e p
s t a h	s t e h₂
s t a r	h₂  s t e r
s t a g a	s t e g
s t h u	s t h₂ u
g o s	g̑ e u s
h a r	h₂ e r
k e m	k̑ e m
d e k i	d e k̑
s t u r	s t u h₂ r
t h i	t i h₁
b i	w i
p e l h	p e l h₁
b e r o	w e r h₁
h u r	u h₁ r
u d	u d
h a r g i	h₂ e r g̑
p a l	p e l h₂
b e n	m e n
i o s	i o s
