t e h₂	4868	0.004868
s e h₂	3844	0.003844
d e h₂	3841	0.003841
k̑ e h₂	3799	0.003799
p e h₂	3410	0.00341
k e h₂	3283	0.003283
p e h₁	3195	0.003195
s e h₁	3120	0.00312
g̑ e h₂	3115	0.003115
gʷ e h₂	3083	0.003083
bʱ e h₁	2971	0.002971
dʱ e h₁	2870	0.00287
s t e h₂	2835	0.002835
t r e h₁	2127	0.002127
d e h₁	2069	0.002069
h₂ e h₁	1908	0.001908
k̑ e h₁	1902	0.001902
s k e h₂	1889	0.001889
k r e h₁	1778	0.001778
bʱ r e h₁	1746	0.001746
s w e h₂	1715	0.001715
h₂ e h₂	1687	0.001687
h₂ e l h₁	1655	0.001655
p l e h₂	1648	0.001648
dʱ e h₂	1642	0.001642
t e r s	1631	0.001631
s l e h₂	1629	0.001629
h₂ w e h₂	1602	0.001602
p e l h₁	1588	0.001588
s e w d	1526	0.001526
p e r s	1484	0.001484
p r e h₁	1465	0.001465
h₁ r e h₁	1461	0.001461
s e w s	1455	0.001455
bʱ e l h₁	1426	0.001426
k e w d	1393	0.001393
k e w s	1393	0.001393
t e w d	1391	0.001391
k e r s	1385	0.001385
dʱ r e h₁	1353	0.001353
p e w d	1339	0.001339
t e w s	1326	0.001326
s e l h₁	1308	0.001308
h₂ e l h₂	1304	0.001304
p e w s	1303	0.001303
s e w k	1286	0.001286
t e l h₁	1285	0.001285
h₂ e w d	1262	0.001262
k e l h₁	1259	0.001259
g̑ʱ e h₂	1250	0.00125
t e r h₃	1244	0.001244
p e s	1242	0.001242
bʱ e h₂	1236	0.001236
s e s	1236	0.001236
t e r h₂	1235	0.001235
bʱ l e h₂	1228	0.001228
h₂ e j s	1222	0.001222
k e h₁	1207	0.001207
h₂ e w s	1201	0.001201
kʷ e h₂	1187	0.001187
p l e h₁	1178	0.001178
bʱ e r s	1176	0.001176
s e w bʱ	1171	0.001171
p e l h₂	1154	0.001154
t e w k	1146	0.001146
h₂ e s	1130	0.00113
d r e h₁	1130	0.00113
h₂ e j d	1129	0.001129
h₂ e n d	1124	0.001124
s e w dʱ	1124	0.001124
k e w k	1122	0.001122
p e w k	1119	0.001119
d e s	1116	0.001116
gʱ r e h₁	1110	0.00111
t e r k̑	1093	0.001093
t e r bʱ	1093	0.001093
s l e h₁	1089	0.001089
t e n d	1061	0.001061
t e w bʱ	1052	0.001052
h₁ e s	1049	0.001049
p e r h₂	1049	0.001049
p e r h₃	1049	0.001049
g̑ʱ e h₁	1047	0.001047
k e w bʱ	1035	0.001035
h₂ e p	1032	0.001032
bʱ e l h₂	1030	0.00103
k l e h₂	1019	0.001019
h₂ e n dʱ	1017	0.001017
bʱ e n d	1012	0.001012
p e n d	1012	0.001012
s e w g	1005	0.001005
s e l h₂	1001	0.001001
k e r h₃	994	0.000994
t e m h₂	994	0.000994
s e p	991	0.000991
s t e r s	990	0.00099
k̑ e n d	979	0.000979
t e r dʱ	977	0.000977
gʱ e h₁	975	0.000975
s e j s	974	0.000974
h₂ e n k	969	0.000969
h₁ e r s	967	0.000967
h₃ e kʷ	965	0.000965
gʷ e s	965	0.000965
k e w dʱ	961	0.000961
h₂ e w k	960	0.00096
t e m h₁	958	0.000958
k e r h₂	957	0.000957
p e t	949	0.000949
t e m bʱ	946	0.000946
s e j d	944	0.000944
gʷ e l h₁	942	0.000942
t e n k	942	0.000942
h₂ e k̑	933	0.000933
t e n dʱ	932	0.000932
p e w bʱ	928	0.000928
kʷ e t	927	0.000927
d e l h₁	926	0.000926
d e w d	925	0.000925
h₃ e p	925	0.000925
t e w dʱ	924	0.000924
h₂ e w bʱ	921	0.000921
t e r d	919	0.000919
p e r k̑	913	0.000913
h₃ e d	913	0.000913
k̑ e p	912	0.000912
k e l h₂	909	0.000909
