g i	7233	0.007233
h a	6909	0.006909
b i	6790	0.00679
h a r	6072	0.006072
s a	5965	0.005965
s t a	5422	0.005422
b a	4820	0.00482
p o	4644	0.004644
h i	4398	0.004398
h e	4328	0.004328
k o	4234	0.004234
h o	4163	0.004163
b e	4160	0.00416
g o	4133	0.004133
d e	3700	0.0037
t a	3628	0.003628
a	2928	0.002928
k o r	2924	0.002924
g i n	2915	0.002915
s u	2911	0.002911
d a	2832	0.002832
m a	2830	0.00283
p a	2824	0.002824
n a	2802	0.002802
d i	2775	0.002775
s i	2768	0.002768
b o	2699	0.002699
s t a r	2688	0.002688
s a r	2556	0.002556
m a r	2529	0.002529
h a l	2504	0.002504
t i	2503	0.002503
k a	2448	0.002448
b a r	2307	0.002307
g a r	2295	0.002295
g a	2239	0.002239
k i	2235	0.002235
k a r	2140	0.00214
s o	2112	0.002112
o	2070	0.00207
p e	1941	0.001941
m e	1911	0.001911
g i n i	1904	0.001904
l o	1874	0.001874
a r	1859	0.001859
k a l	1826	0.001826
e	1812	0.001812
t a r	1729	0.001729
h o r	1701	0.001701
k e	1698	0.001698
s u r	1695	0.001695
u	1675	0.001675
s t i	1670	0.00167
s k o	1663	0.001663
g u r	1652	0.001652
p a r	1649	0.001649
n a r	1645	0.001645
n o	1630	0.00163
b e l	1623	0.001623
d o	1620	0.00162
d o l	1604	0.001604
h e r	1584	0.001584
k u	1551	0.001551
s a l	1539	0.001539
h a r s	1534	0.001534
k o l	1530	0.00153
t o	1524	0.001524
h u	1465	0.001465
d e h i	1459	0.001459
b i n	1443	0.001443
t e	1434	0.001434
p o r	1422	0.001422
s t a l	1383	0.001383
b a l	1371	0.001371
l e	1349	0.001349
d a r	1349	0.001349
h a n	1337	0.001337
h a s	1329	0.001329
u r	1289	0.001289
b e r	1267	0.001267
s u s	1264	0.001264
h u r	1261	0.001261
i o s	1253	0.001253
h a r h	1214	0.001214
e u s	1185	0.001185
a l	1170	0.00117
s k o r	1170	0.00117
p a u s	1139	0.001139
u d	1126	0.001126
b e h i	1113	0.001113
s k i	1103	0.001103
s k a	1100	0.0011
o r	1094	0.001094
s t u	1075	0.001075
g e	1067	0.001067
m a l	1061	0.001061
l i	1041	0.001041
s t e	1039	0.001039
d a l	1039	0.001039
g o r	1038	0.001038
p a l	1036	0.001036
e r	1034	0.001034
k o r h	1021	0.001021
m u s	1020	0.00102
k u r	1019	0.001019
h a r a	1017	0.001017
i	1000	0.001
s k a r	991	0.000991
g u	978	0.000978
h a r i	959	0.000959
g a l	932	0.000932
l a s	932	0.000932
t a l	930	0.00093
b i n i	919	0.000919
n i	909	0.000909
b u r	892	0.000892
d e h i s	886	0.000886
k u s	882	0.000882
d e l	869	0.000869
k o r s	857	0.000857
h a r o	854	0.000854
g i h i	851	0.000851
s e	849	0.000849
d i n	849	0.000849
b o r	841	0.000841
b e n	835	0.000835
p e g i	830	0.00083
s u n	827	0.000827
s t u r	821	0.000821
s k a l	819	0.000819
s t o	785	0.000785
k o r a	772	0.000772
p e r	769	0.000769
k e r	761	0.000761
l a	750	0.00075
u i	740	0.00074
t u	739	0.000739
p e g i h	734	0.000734
a n	727	0.000727
s a n	723	0.000723
d o r	723	0.000723
s t a r s	722	0.000722
p e g i n	721	0.000721
m e s	719	0.000719
s t a n	704	0.000704
s p o	694	0.000694
k i n	680	0.00068
m e l	680	0.00068
h e s	679	0.000679
s a s	669	0.000669
h a n s	667	0.000667
p o i n	654	0.000654
m a r s	653	0.000653
s a r s	651	0.000651
h i l	644	0.000644
s o r	643	0.000643
b e h i s	643	0.000643
m u	630	0.00063
s k o l	625	0.000625
k o r o	622	0.000622
g a r s	616	0.000616
s t u s	608	0.000608
p o i	604	0.000604
b a s	597	0.000597
b i l	595	0.000595
h u s	589	0.000589
e n	588	0.000588
p e l	586	0.000586
t o r	583	0.000583
n u n	583	0.000583
k u n	582	0.000582
k a r s	580	0.00058
n a l	578	0.000578
d u r	577	0.000577
n a s	573	0.000573
h o r h	566	0.000566
s u n i	565	0.000565
h e l	560	0.00056
n a h a	558	0.000558
b a r s	557	0.000557
p o t	556	0.000556
s u r s	556	0.000556
n a h i	555	0.000555
k e s	550	0.00055
m a n	549	0.000549
d a n	549	0.000549
m e n	545	0.000545
h e r s	536	0.000536
b u	535	0.000535
l e l	532	0.000532
l e k i	531	0.000531
p o l	528	0.000528
h e i	527	0.000527
k o n	525	0.000525
s t a r h	524	0.000524
s u r i	522	0.000522
n a h a r h	521	0.000521
k e i	520	0.00052
n a h a r	517	0.000517
s p i	516	0.000516
l e k o r h	514	0.000514
d e h	514	0.000514
g u r s	514	0.000514
b a n	512	0.000512
d e r	510	0.00051
t a r s	510	0.00051
d i n i	509	0.000509
h o r s	509	0.000509
m a r h	508	0.000508
k e n	508	0.000508
g o l	505	0.000505
n a h a r s	505	0.000505
s n o	504	0.000504
t e r	504	0.000504
s i l	501	0.000501
u a l h	499	0.000499
g u r i	498	0.000498
p o r h	496	0.000496
t i r i	494	0.000494
g i h i s	492	0.000492
t u r	484	0.000484
b e r s	482	0.000482
s k e	482	0.000482
s e n	481	0.000481
t a n	480	0.00048
s i n	473	0.000473
m o	473	0.000473
