GLOSS_ID,GLOSS,Albanian,Amami,Armenian,Armenian_Mod,Banggi,Banoni,Bare'e,Berawan (Long Terawan),Bihari,Breton_ST,Bulgarian,Catalan,Central Amis,Chamorro,Czech,Danish,Dashi,Dutch,Dutch_List,Ega,English,Enqi,French,German,Gongxing,Greek,Greek_Mod,Hachijō,Hanunoo,Hawaiian,Hindi,Iban,Icelandic,Italian,Jinman,Jinxing,Jugan Khanty,Kagoshima,Kazym Khanty,Konda Khanty,Konda Mansi,Kyōto,Kōchi,Likrisovskoje Khanty,Lower Lozva Mansi,Mailu,Maloh,Malyj Jugan Khanty,Marathi,Mazhelong,Merina (Malagasy),Middle Lozva Mansi,Miyako,Moken,Navajo,Nias,Nizjam Khanty,North Mansi,Norwegian,Obdorsk Khanty,Oki,Oriya,Palauan,Pelymka Mansi,Polish,Portuguese,Portuguese_ST,Romanian,Russian,Sado,Sherkaly Khanty,Shuri,Singhi,Spanish,Swedish,Synja Khanty,Tavda Mansi,Tetum,Thao,Tremjugan Khanty,Tsou,Tunjung,Tuolo,Turkish,Tōkyō,Upper Demjanka Khanty,Urdu,Vakh Khanty,Vartovskoje Khanty,Vasjugan Khanty,Verkhne-Kalymsk Khanty,Wuna,Zhoucheng
GLOSS_ID,GLOSS,KSL,JAP,PIE,IEL,PAN,PAN,PAN,PAN,IEL,IEL,IEL,IEL,PAN,PAN,IEL,IEL,BAI,IEL,IEL,BAI,IEL,BAI,IEL,IEL,BAI,PIE,IEL,JAP,PAN,KSL,PIE,PAN,IEL,IEL,BAI,BAI,OUG,JAP,OUG,OUG,OUG,JAP,JAP,OUG,OUG,PAN,PAN,OUG,IEL,BAI,PAN,OUG,JAP,PAN,KSL,PAN,OUG,OUG,IEL,OUG,JAP,IEL,PAN,OUG,IEL,IEL,IEL,IEL,IEL,JAP,OUG,JAP,PAN,IEL,IEL,OUG,OUG,PAN,PAN,OUG,PAN,PAN,BAI,KSL,JAP,OUG,IEL,OUG,OUG,OUG,OUG,PAN,BAI
93,year,v i t,θ u s i,t ɑ ɾ i,t ɑ ɾ i,t o u d n,n a m a r e,t a ʔ u,t a u n,s a l,b l w aː,ɡ o d i n ə,a ɲ,m i h c a,s a kː a n,r o k,ɒ,sʰ w a ₄₄,j aː r,j a r,s w a ₄₄,j ɪə,s w a ₅₅,ɑ̃,j aːɐ̯,s w a ₂₄,e t o s,x r o̞ ɲ a,t o s i,t u r u ŋ u n,m a k a h i k i,b ə r ə s,t a u n,auː r,a nː o,s w a ₅₅,s w ɑ ₄₄,ɔː ɬ,t o ɕ,ɔː ɬ,oː t,t oɔ l,t o s i,t o s i,aː θ,t ɔː l,l i o r o,t a u n,aː ɬ,s a l,s w a ₄₄,t a o n a,t oɔ l,t u s ɨ,t a k o n,h ai,d õ f i,ɔː t,t aː l,oː ɾ,t æ l,t o s i,b ɔ r s ɔ,r a k,t ɔː l,r ɔ k,ɐ n u,ɐ n u,a n,ɡ o t,t o s i,t a t ə,t u s i,s o w a,a ɲ o,oː r,t a l,t eː l,t i n a n,k a w a s h,ɔː ɬ,t o n s o h a,t a u n,s w ɔ ₄₂,s e n e,t o s i,oː t,s ɑ l,aː l,aː ɬ,aː l,aː l,t a gʰ u,s w a ₄₄
93,tooth,ð ə m b,h w a,ɑ t ɑ m,ɑ t ɑ m,k u h u d,n u k i,ŋ i s i,j i p ə n,d ã t,d ã n t,z ɤ p,d e n,w a l i s,n i f e n,z ʊ p,d̥ʰ a n,t͡ʂʰ i ₄₄ p a ₄₄,t ɑ n t,t ɑ n t,ʨ u ₂₂ p a ₄₄ q w a ₄₄,t uː θ,ʨ u ₂₂ p a ₅₅,d ɑ̃,t͜s aː n,t͡ʂ i ₂₁ p a ₂₄,ð o n d i,ð o̞ n d i,n u k a b a,ŋ i p u n,n i h o,d ã t,ŋ e l i ʔ,tʰ œ nː,d ɛ n t e,ʨ u ₂₂ p a ₄₄,ʦ ɤ ₄₄ p ɑ ₄₄,p æ ŋʷ kʷ,h a,p ɛː ŋ k,p eː ŋ k,p æ ŋ k,h aː,h a,p æ ŋʷ kʷ,p æ ŋ k,m aː,i s i,p æ ŋʷ kʷ,d a t,ʦ i ₃₃ p ɑ ₄₄,n i f j,p æ ŋ k,p aː,l e p a n,ɣ oː ʔ,i f õ,p eː ŋ k,p u ŋ k,t ɑ n,p eː ŋ k,ɸ a,d a n t ɔ,u i ŋ e l,p æ ŋ k,z ɔ̃ p,d ẽ t ə,d ẽ t ɨ,d i n t e,z u p,h a,p eː ŋ k,h aː,j u p e n,d j e n t e,t a n d,p eː k,p ə ŋ,n e a n,n i p i n,p æ ŋʷ kʷ,h i s i,k ə s i ŋ,ʨ u ₄₂ p o ₄₂,d i ʃ,h a,p eː ŋ k,d̪ ɑ̃ t̪,p œː ŋ k,p œː ŋ k,p œː ŋ k,p œː ŋ k,w a ŋ k a,ʦ i ₃₃ p a ₄₄
93,small,v o g ə l,ʔʲ e n a s a r i,pʰ o kʰ ə ɾ,pʰ o kʰ ə ɾ,t o j o k,b a k i,k o d i,d i k,cʰ o ʈ,b iːã n,m a l ə k,p ə t i t,k i ʔ k i ʔ,h a g u i,m a l iː,l i l ə,sʰ e ₂₁,k l ɛɪ n,k l ɛi n,s ɛ ₄₂,s m ɔː l,s ɛ ₄₃,p ə t i,k l ai n,s ɛ ₄₂,m i k r o s,m i k r o̞ s,n e kː o kʲ a,d i ʔ i t,i k i,ʧ ɔː ʈ aː,m i t,s m auː r,p i kː o l o,s ẽ ₄₂,s e ₃₁,æː j,ʨ i ɴ k e,aː j,æː j,w i sʲ,ʨ iː s ai,h o s oi,æː j,i sʲ,m a r a m a r a,k é k é,æː j,ʧ o ʈ a,s ɛ ₂₁,k é l j,w y sʲ,i m i,n e k,j ay ʒ i,b õ t õ,aː j,m aː ɲ,l iː t ə n,æː j,k o m eː,cʰ o ʈ ɔ,k e k e r é i,i sʲ,m a w ɨ,p ə k e n u,p ɨ k e n u,m i k,m a lʲ ɪ nʲ kʲ ɪ j,ʨ iː s ai,aː j,g u m a s a ɴ,m o n i k,p e k e ɲ o,l iː t ɛ n,aː j,u sʲ,k i ʔ i k,l a ŋ q i s u s a j,æː j,o k o s i,i t i t,s e ₂₁,k y ʧ y k,ʨ i ʨː ai,æː j,ʧʰ o ʈ ə,æː j,œ k ə m,æː j,æː j,n o r u b u,s e ₃₁
93,mouth,g o j,k u ʨ i,b ɛ ɾ ɑ n,b ɛ ɾ ɑ n,b o b o k,m a ŋ o,ŋ u j u,m u n o ŋ,m ũ h,g ẽː n u,u s t a,b o k ə,ŋ o j o s,p a cʰ o t,uː s t a,m ɔ n,ʦ w i ₃₃,m ɔ n t,m ɔ n t,ʨ u ₂₂ k w a ₅₅ q o ₄₂,m aʊ θ,ʨ u ₂₂ q w a ₂₄,b u ʃ,m ʊ n t,ʦ u ₂₂ q w ɛ ₅₅,s t o m a,s t o̞ m a,k u ʨ i,s u l a ŋ,w a h a,m ʊ̃ ɦ,nʲ a w a,m ʏ nː ʏ r,b o kː a,ʨ u ₂₂ k w e ₅₅,ʨ y j ₃₃ k w e ₅₅,ɬ uː ɬ,k ui,u ŋ ə ɬ,t uː t,t u s,k u ʨ i,k u t i,θ uː θ,t u s,n o g a,b a b a ʔ,ɬ uː ɬ,t õ ɳ ɖ,ʦ w i ₃₃,v a v a,t u s,f u ʦ ɨ,ʔ o k aː ŋ,z eː ʔ,b a w a,t uː t,s uː p,m ʉ n,uː ŋ ə l,k u ʨ i,m u h ɔ̃,ŋ o r,t u s,u s t a,b o k ɐ,b o k ɐ,g u r ə,r o t,k u ʨ i,t uː t,k u ʨ i,b o b a,b o k a,m ɵ n,u ŋ ə l,t oː ʃ,n u n u n,r u z i c,ɬ uː ɬ,ŋ a e o,o n c o ŋ,ʨ u ₃₃ q w a ₅₅,a ɣ z,k u ʨ i,t uː t,m ʊ̃ʰ,l uː l,ɬ uː ɬ,j uː l,j uː l,w o b a,ʨ y ₃₃ k ɤ ₃₃
93,long,ɟ a t,n a g a s a r i,j ɛ ɾ k ɑ ɾ,j ɛ ɾ k ɑ ɾ,m e l a ŋ g u,g aː r u s u,m a r a t e,k ə b ə i ʔ,l ə m b a,iː r,d ɤ l ə k,ʎ a ɾ k,k a k a j a ʔ,l a g u a s,d l o w ɦ iː,l ɑ ŋ,t͡ʂ õ ₂₁,l ɑ ŋ,l ɑ ŋ,ʨ u ₂₁,l ɒ ŋ,t j o ₂₁,l ɔ̃,l a ŋ,ʥ o w ₁₂,m a k r i s,m a k r i s,n a g a kʲ a,ʔ a b a ʔ,l o a,l ə m b aː,p a n j a i,l a ŋ k ʏ r,l u n g o,ʈ õ ₂₁,ʦ õ ₂₁,k o w,n a g e,χ u w,χ o w,qʷ ɔi sʲ ə,n a ŋ ai,n a g ai,k ɔ ɣ,qʷ ɔ ʃ æ,l a u r o r o,l a ŋ k é,k o ɣʷ,l ã m b,ʦ o ŋ ₂₁,l a v a,qʷ ɔ ʃ æ,n a g a,d a t a h,n i n eː z,a n a u,χ u w,χ ɔ s æ,l ɑ ŋ,χ o w,n a ŋ eː,l ɔ m b a,k e m a ŋ e t,qʷ ɔ ʃ æ,d w u ɡ i,l õ g u,l õ ɣ u,l u ŋ,d lʲ i nː ɨ j,n a g ai,χ u w,n a g a s a ɴ,o m u,l a ɾ ɣ o,l ɔ ŋ,χ u w,q u ʃ o,n a r u k,m a k u l i u s h,k o ɣʷ,t a c v o h ʔ i,m o ʔ,d ɤ ₃₅,u z u n,n a ŋ ai,χ o w,l ə m b ə,k oː ɣ,k ɔ ɣ,k oː ɣ,k oː ɣ,n e w a n t a,ʦ o w ₂₁
93,hair,f l o k,h i g i,m ɑ z,m ɑ z,o b u k,p u n u,w u j u a,p u ʔ,k e s,b l ɛ w,k ɔ s ə m,k ə β ɛ ʎ,f u k e s,p u l u,v l a s ɪ,h ɒ,ɕ a ₄₄,h aː r,h a r,t i ₂₁ m i ₅₅,h ɛə,t j ɯ ₂₁ m j ɛ ₂₄,ʃ ə v ø,h aːɐ̯,d i ₂₄ m j ɛ ₁₂,t r i x a,m a ʎ a,k e b u ɕ o,b u h u k,l a u o h o,b aː l,b o k,h auː r,k a p e lː o,ʈ e ₂₁ m e ₅₅,t ǝ ₂₁ m ã ₅₅,oː p ə t,k ei,ɵː p ə t,uː p ə t,əː t,k eː,k e,oː p ə t,əː t,l i m uː,b u k,oː p ə t,k e s,t ɛ ₂₁ m ɛ ₅₅,v o l o,əː t,p͡s ɨ g i,b u l o j,ʦ iː ɣ a ʔ,b u,uː p ə t,aː t,h oː ɾ,oː p ə t,k e,b a ɭ ɔ,cʰ u i,əː t,v w ɔ s ɨ,k ɐ b e l u,k ɐ β e l u,p ə r,v o l ə s ɨ,k e,uː p ə t,k iː,b o e k,k a β e ʎ o,h oː r,uː p ə t,æː t,f uː k,f u k i s h,oː p ə t,f ʔ ʉ́ s ʉ,a l a w,d j ɯ ₃₅ m e ₅₅,s a ʧ,k e,uː p ə t,b ɑ l,aː w ə t,aː w ə t,aː w ə t,aː w ə t,v u l u # n o # f o t u,t ɯ ₂₁ m a ₃₅
93,fire,z j a rː,ua ʦ ɨ,k ə ɾ ɑ k,k ə ɾ ɑ k,a f i,d z a i,a p u,a p o j,ai g,t ɑ̃ː n,ɔ ɡ ə n,f ɔ k,l a m a r,g u a f i,o ɦ ɛ nʲ,i l,x w i ₃₃,v yː r,v y r,f i ₂₂,f aɪə,x w i ₂₂,f ø,f ɔyɐ,x w ɛ ₂₂,f o t ç a,f o̞ t ç a,h i,a p u j,a h i,aː g,a p i,ɛ l t ʏ r,f w ɔ k o,f i ₂₂,x w i ₃₃,t e w ə t,h i,t u t,t yː t,t ɔu t,h iː,h i,t e ɣʷ ə t,t ɔː t,e u,a p i,t e ɣʷ ə t,a g,f i ₃₃,a f o,t oɔ t,u m a ʦ ɨ,ʔ a p u j,k õ ʔ,a l i t õ,t u t,u ʎ æ,i l,t uː t,ɸ i,n ĩã,ŋ a u,oɔ r ə sʲ,ɔ ɡʲ ɛ nʲ,f o g u,f o g u,f o k,ɐ ɡ o nʲ,h i,t u t,h w iː,o p u i,f w e ɣ o,ɛ l d,t u t,t æu t,h a ʔ i,a p u j,t e ɣʷ ə t,p u z u,a p u j,x w e ₃₃,a t e ʃ,h i,t yː t,ʔ ɑ ɡ,t œ ɣ ə t,t œ ɣ ə t,t œ ɣ ə t,t œ ɣ ə t,i f i,x w i ₃₃
92,tongue,ɟ u h,s ɨ b a,l ɛ z u,l ɛ z u,d i l a,m e a,j i l a,j a l i,j iu,t ɛ w t,ɛ z i k,ʎ ɛ ŋ ɡ w ə,s e m a,-,j a z ɪ k,d̥ʰ ɔ ŋ ə,t͡ʂ e ₄₂,t ɔ ŋ,t ɔ ŋ,t i ₂₁ pʰ ɛ ₄₂,t ʌ ŋ,t j ɛ ₂₁,l ɑ̃ g,t͜s ʊ ŋ ə,d j ɛ ₂₁,ɣ l o s a,ɣ l o̞ s a,s i t a,d i l a ʔ,a l e l o,ʤ iː bʱ,d i l a h,tʰ u ŋ k a,l i n g w a,ʈ ɚ ₄₂,ʦ e ₄₂,ɲ æː ɬ ə m,s i t a,ɲ aː ɬ ə m,ɲ æː t ə m,ɲ i l ə m,s i t a,s i t a,ɲ æː θ ə m,ɲ i l m,g o b a,l i l a ʔ,ɲ æː ɬ ə m,d ʒ i bʰ,ʦʰ ɛ ₄₂,l é l a,ɲ i l m,s ɨ t a,k ə l e ʔ,ʦ oː ʔ,l e l a,ɲ aː t ə m,ɲ e l m,t u ŋ ə,ɲ æː l ə m,b e r o,j i bʱ ɔ,cʰ u r,ɲ i l ə m,j ɛ̃ z ɨ k,l ĩ g w ɐ,l ĩ g uɐ,l i m b ə,j ɪ z ɨ k,s i t a b e r a,ɲ aː t ə m,ʃ i b a,j o r a h,l e ŋ ɡ w a,t ɵ ŋ a,ɲ aː l ə m,ɲ i ʎ ə m,n a n aː n,z a m a,ɲ æː ɬ ə m,u m o,c e l a ʔ,d e ₄₂,d i l,s i t a,ɲ æː t ə m,z ə b ɑ n,ɲ æː l ə m,ɲ æː ɬ ə m,ɲ æː l ə m,ɲ æː l ə m,l e l a,ʦ e ₄₂
